OST:StopArea:0119742502,NSR:Quay:291
OST:StopArea:0119742501,NSR:Quay:292
OST:StopArea:0119741001,NSR:Quay:293
OST:StopArea:0119741002,NSR:Quay:294
OST:StopArea:0119739502,NSR:Quay:295
OST:StopArea:0119739501,NSR:Quay:296
OST:StopArea:0119740502,NSR:Quay:297
OST:StopArea:0119742902,NSR:Quay:298
OST:StopArea:0119742901,NSR:Quay:299
OST:StopArea:0119742802,NSR:Quay:300
OST:StopArea:0119742801,NSR:Quay:301
OST:StopArea:0119742702,NSR:Quay:302
OST:StopArea:0119742701,NSR:Quay:303
OST:StopArea:0119741501,NSR:Quay:304
OST:StopArea:0119741502,NSR:Quay:305
OST:StopArea:0119742601,NSR:Quay:306
OST:StopArea:0119742602,NSR:Quay:307
OST:StopArea:0119742002,NSR:Quay:308
OST:StopArea:0119742001,NSR:Quay:309
OST:StopArea:0106844505,NSR:Quay:310
OST:StopArea:0135845502,NSR:Quay:311
OST:StopArea:0135146502,NSR:Quay:312
OST:StopArea:0135146501,NSR:Quay:313
OST:StopArea:0135148001,NSR:Quay:314
OST:StopArea:0135148002,NSR:Quay:315
OST:StopArea:0135152502,NSR:Quay:316
OST:StopArea:0135152501,NSR:Quay:317
OST:StopArea:0106847502,NSR:Quay:318
OST:StopArea:0106847501,NSR:Quay:319
OST:StopArea:0106847503,NSR:Quay:319
OST:StopArea:0135845002,NSR:Quay:320
OST:StopArea:0135149501,NSR:Quay:321
OST:StopArea:0135149502,NSR:Quay:322
OST:StopArea:0106857002,NSR:Quay:323
OST:StopArea:0106857001,NSR:Quay:324
OST:StopArea:0135149002,NSR:Quay:325
OST:StopArea:0135149001,NSR:Quay:326
OST:StopArea:0106846502,NSR:Quay:327
OST:StopArea:0135146001,NSR:Quay:328
OST:StopArea:0135152002,NSR:Quay:329
OST:StopArea:0135152001,NSR:Quay:330
OST:StopArea:0135150502,NSR:Quay:331
OST:StopArea:0135150501,NSR:Quay:332
OST:StopArea:0135147501,NSR:Quay:333
OST:StopArea:0135147502,NSR:Quay:334
OST:StopArea:0135151501,NSR:Quay:335
OST:StopArea:0135151502,NSR:Quay:336
OST:StopArea:0135151102,NSR:Quay:337
OST:StopArea:0135146701,NSR:Quay:338
OST:StopArea:0106843502,NSR:Quay:339
OST:StopArea:0135150001,NSR:Quay:340
OST:StopArea:0135150002,NSR:Quay:341
OST:StopArea:0135147002,NSR:Quay:342
OST:StopArea:0135147001,NSR:Quay:343
OST:StopArea:0106857501,NSR:Quay:344
